<Fe>,,,,Aplica tambien para ,,,,,
,</Totales>,,,,,,,,
,<Anticipos>,,,,0..*,,,,cac:PrepaidPayment
,,<Identificador/>,,,1,,Identificación,,cac:PrepaidPayment/cbc:ID
,,<MontoAnticipo/>,,,1,,Valor del anticipo,,cac:PrepaidPayment/cbc:PaidAmount
,,<FechaRecibidoAnticipo/>,,,0..1,,Fecha de recibido del anticipo,,cac:PrepaidPayment/cbc:ReceivedDate
,,<FechaRealizadoAnticipo/>,,,0..1,,Fecha en la que se realizó el anticipo,,cac:PrepaidPayment/cbc:PaidDate
,,<HoraRealizadoAnticipo>,,,0..1,,Hora en la que se realizó el anticipo,,cac:PrepaidPayment/cbc:PaidTime
,,<InstructionID/>,,,0..1,,,,cac:PrepaidPayment/cbc:InstructionID
,</Anticipos>,,,,,,,,
,<Descuentos>,,,,0..*,,,,cac:AllowanceCharge
,,<CodigoDescuento/>,,Documento Soporte,1,,Código de descuento,13.3.8. Códigos de descuento,cac:AllowanceCharge/cbc:AllowanceChargeReasonCode
,,<RazonDescuento/>,,Documento Soporte,0..1,,Razón por la cual se hace el descuento,,cac:AllowanceCharge/cbc:AllowanceChargeReason
,,<PorcentajeDescuento/>,,Documento Soporte,0..1,,Porcentaje del descuento,,cac:AllowanceCharge/cbc:MultiplierFactorNumeric
,,<Descuento/>,,Documento Soporte,1,,Valor del descuento,,cac:AllowanceCharge/cbc:Amount
,,<ValorBase/>,,Documento Soporte,0..1,,Valor básico del documento,,cac:AllowanceCharge/cbc:BaseAmount
,</Descuentos>,,,,,,,,
,<Recargos>,,,,0..*,,,,cac:AllowanceCharge
,,<CodigoRecargo/>,,,1,,Código de recargo,,cac:AllowanceCharge/cbc:AllowanceChargeReasonCode
,,<RazonRecargo/>,,,0..1,,Razón por la cual se hace el recargo,,cac:AllowanceCharge/cbc:AllowanceChargeReason
,,<PorcentajeRecargo/>,,,0..1,,Porcentaje del recargo,,cac:AllowanceCharge/cbc:MultiplierFactorNumeric
,,<Recargo/>,,,1,,Valor del recargo,,cac:AllowanceCharge/cbc:Amount
,,<ValorBase/>,,,0..1,,Valor básico del documento,,cac:AllowanceCharge/cbc:BaseAmount
,</Recargos>,,,,,,,,
,<TaxTotal>,,,,,,,,
,,<BaseTaxTotal>,,Documento Soporte,1.1,,Valor al cual se le aplica el tributo,,
,,<CodigoTax>,,Documento Soporte,1..1,,Código del tributo,,cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cac:TaxScheme/cbc:ID | cac:WithholdingTaxTotal/cac:TaxSubtotal/cac:TaxCategory/cac:TaxScheme/cbc:ID
,,<NombreTax>,,Documento Soporte,1..1,,Nombre del tributo,13.2.2. Tributos,cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cac:TaxScheme/cbc:Name | cac:WithholdingTaxTotal/cac:TaxSubtotal/cac:TaxCategory/cac:TaxScheme/cbc:Name
,,<PorcTax>,,Documento Soporte,1..1,,Porcentaje del tributo,,cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:Percent | cac:WithholdingTaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:Percent
,,<ValorTax>,,Documento Soporte,1..1,,Valor del tributo,,cac:TaxTotal/cac:TaxSubtotal/cbc:TaxAmount | cac:WithholdingTaxTotal/cac:TaxSubtotal/cbc:TaxAmount
,,<RedondeoTax>,,,0..1,,Redondeo agregado al total del impuesto,,
,</TaxTotal>,,,,,,,,
,<Detalles>,,,,,,,,
,,<NumeroLinea/>,,Documento Soporte,1.1,,Número del ítem,,
,,<CodigoItem/>,,Documento Soporte,0.1,,Código alfanumérico del ítem,,
,,<CodigoAlternativo/>,,,0.1,,Código alfanumérico alternativo del ítem,,cac:InvoiceLine/cbc:ID | cac:CreditNoteLine/cbc:ID | cac:DebitNoteLine/cbc:ID
,,<IDCodigoEstandar/>,,Documento Soporte,0.1,,,6.3.5 Productos,cac:StandardItemIdentification/cbc:@schemeID
,,<CodigoEstandar/>,,Documento Soporte,0.1,,,Obligatorio exportación,cac:StandardItemIdentification/cbc:ID
,,<NumeroContrato/>,,,0.1,,,,
,,<CantidadItem/>,,Documento Soporte,1.1,,Cantidad del ítem,,cac:InvoiceLine/cbc:InvoicedQuantity | cac:CreditNoteLine/cbc:CreditedQuantity | cac:DebitNoteLine/cbc:DebitedQuantity
,,<UnidadCantidad/>,,Documento Soporte,1..1,,Unidad de cantidad para el item,13.3.6. Unidades de Cantidad: @unitCode,cac:InvoiceLine/cbc:InvoicedQuantity/@unitCode | cac:CreditNoteLine/cbc:CreditedQuantity/@unitcode | cac:DebitNoteLine/cbc:DebitedQuantity/@unitCode
,,<UnidadMedida/>,,,1.1,,Unidad de medida del ítem,13.3.6. Unidades de Cantidad: @unitCode,cac:InvoiceLine/cac:Price/cbc:BaseQuantity@unitCode | cac:CreditNoteLine/cac:Price/cbc:BaseQuantity@unitCode | cac:DebitNoteLine/cac:Price/cbc:BaseQuantity@unitCode 
,,<DescripcionItem/>,,Documento Soporte,1.1,,Descripción del item,,cac:InvoiceLine/cac:Item/cbc:Description | cac:CreditNoteLine/cac:Item/cbc:Description | cac:DebitNoteLine/cac:Item/cbc:Description
,,</MatriculaInmobiliaria>,,,0..1,Campo contemplado cuando operacion es 14,numero de matricuala inmobiliaria,,
,,</ValorComercialTransaccion>,,,0..1,Campo contemplado cuando operacion es 14,valor de transacción,,
,,<CantidadEmpaque/>,,,0.1,,,,
,,<FormaGeneracion/>,,Documento Soporte,1 . . 1,,Forma de generación y transmisión de conformidad con lo establecido en los Artículo 2 y 10. Resolución 167 Doc Soporte,16.1.6. Forma de generación y transmisión  cbc: DescriptionCode; cbc: Description,cac:InvoiceLine/cac:InvoicePeriod/cbc:Description | cac:CreditNoteLineInvoicePeriod/cbc:Description | cac:DebitNoteLineInvoicePeriod/cbc:Description
